[key]; [value]
Version; 0x03050000
Name; Application.Sine_Trace
ApplicationName; Application
ApplicationDataGuid; 00000000-0000-0000-0000-000000000000
IecTaskName; MainTask
Comment; 
Trigger.Flags; 0
Condition.Name; 
Condition.AddrFlags; 0x00000000
Condition.Class; 0
Condition.Size; 0
EveryNCycles; 1
BufferEntries; 201
Flags; 16
0.Variable; PLC_PRG.Sine_FilterInput
0.Address.AddrFlags; 0x00000000
0.Class; 14
0.Size; 4
0.GraphColor; 4285563024
0.GraphType; 4
0.MinWarningColor; 4278190080
0.MaxWarningColor; 4294901760
0.CriticalLowerLimit; 0
0.CriticalUpperLimit; 0
0.ActivateMinWarning; 0
0.ActivateMaxWarning; 0
0.YAxis; 0
0.Data; 
; 6791; 0.40043601393699646
; 6801; 0.49177500605583191
; 6811; 0.49666699767112732
; 6821; 0.39252999424934387
; 6831; 0.48323199152946472
; 6841; 0.23241899907588959
; 6851; 0.28398200869560242
; 6861; 0.064150996506214142
; 6871; -0.046078998595476151
; 6881; 0.08418399840593338
; 6891; -0.18452900648117065
; 6901; -0.23792700469493866
; 6911; -0.23055300116539001
; 6921; -0.38041600584983826
; 6931; -0.23630200326442719
; 6941; -0.37933599948883057
; 6951; -0.539027988910675
; 6961; -0.55494600534439087
; 6971; -0.61936098337173462
; 6981; -0.58042299747467041
; 6991; -0.8650130033493042
; 7001; -0.740822970867157
; 7011; -0.85571497678756714
; 7021; -0.72597301006317139
; 7031; -0.73845398426055908
; 7041; -0.81981301307678223
; 7051; -0.877606987953186
; 7061; -1.1604739427566528
; 7071; -0.92014700174331665
; 7081; -1.0329200029373169
; 7092; -0.990447998046875
; 7102; -1.0114680528640747
; 7112; -1.1054869890213013
; 7122; -0.93870699405670166
; 7132; -0.97585701942443848
; 7144; -1.0340989828109741
; 7152; -0.905040979385376
; 7162; -0.82774102687835693
; 7172; -1.0838220119476318
; 7182; -0.95919597148895264
; 7192; -1.0474920272827148
; 7202; -0.83748102188110352
; 7212; -0.83508497476577759
; 7222; -0.905875027179718
; 7232; -0.87575000524520874
; 7242; -0.85761302709579468
; 7252; -0.649058997631073
; 7262; -0.722931981086731
; 7272; -0.66675001382827759
; 7282; -0.72872602939605713
; 7292; -0.520363986492157
; 7302; -0.2291640043258667
; 7312; -0.41382399201393127
; 7322; -0.52793002128601074
; 7332; -0.30230700969696045
; 7342; -0.41060900688171387
; 7352; -0.19116799533367157
; 7362; -0.31351500749588013
; 7372; -0.0099010001868009567
; 7382; 0.09506700187921524
; 7392; 0.19886800646781921
; 7402; 0.24465000629425049
; 7412; 0.0926709994673729
; 7422; 0.27427598834037781
